"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",20148546
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",23878041
"1AG","ALTERRA LIMITED","2008-05-16","Food, Beverage & Tobacco",7499959
"1MC","MORELLA CORPORATION LIMITED","2001-01-08","Materials",103524280
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services",6045311
"1STN","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services",6045311
"1VG","VICTORY GOLDFIELDS LIMITED","2021-07-22","Materials",7995853
"29M","29METALS LIMITED","2021-07-02","Materials",1321251250
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",1253604092
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",42612948
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",206730892
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services",15209543
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",442374672
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",92817948
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",228231174
"5EA","5E ADVANCED MATERIALS INC.",,"Materials",0
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",130150994
"88E","88 ENERGY LIMITED","2000-01-20","Energy",587752674
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",33233963
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",59128738
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",110191697
"92E","92 ENERGY LIMITED","2021-04-15","Energy",36678120
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",17395241
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services",10453361
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",26867324
"A1M","AIC MINES LIMITED","1993-11-04","Materials",185229011
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",155355581
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",4231405644
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",13811855
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",413653044
"A8G","AUSTRALASIAN METALS LIMITED","2021-05-13","Materials",25539042
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",1003606634
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",13498689
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",7627487
"AAR","ANGLO AUSTRALIAN RESOURCES NL","1986-11-13","Materials",65579716
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",24320397
"AB1","ABARTA RESOURCES LIMITED",,"Materials",0
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",302780986
